,Time_Order_picked,Weatherconditions,Road_traffic_density,Type_of_vehicle,City,City_name,Delivery_person_Age,Delivery_person_Ratings,Multiple_deliveries,Time_taken_min,Distance,Speed,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude
1,1900-01-01 22:50:00,Windy,Low,motorcycle,Urban,Agra,38.0,4.7,1.0,28.0,10.47,22.44,27.163303,78.057044,27.233303,78.127044
2,1900-01-01 22:20:00,Sunny,Low,motorcycle,Urban,Agra,30.0,4.7,0.0,15.0,8.97,35.88,27.163303,78.057044,27.223303,78.117044
6,1900-01-01 15:15:00,Fog,High,motorcycle,Metropolitian,Agra,23.0,4.4,1.0,34.0,5.9,10.41,27.160832,78.011608,27.200832,78.051608
7,1900-01-01 17:40:00,Sunny,Medium,motorcycle,Metropolitian,Agra,30.0,4.5,1.0,23.0,8.87,23.14,27.160832,78.011608,27.220832,78.071608
8,1900-01-01 10:25:00,Cloudy,Low,motorcycle,Metropolitian,Agra,33.0,4.7,1.0,25.0,1.47,3.53,27.195928,77.998092,27.205928,78.008092
9,1900-01-01 19:45:00,Sandstorms,Jam,motorcycle,Metropolitian,Agra,30.0,4.9,1.0,27.0,19.32,42.93,27.195928,77.998092,27.325928,78.128092
11,1900-01-01 19:25:00,Windy,Jam,scooter,Metropolitian,Agra,28.0,4.7,0.0,24.0,16.48,41.2,27.160934,78.044095,27.270934,78.154095
12,1900-01-01 22:00:00,Fog,Jam,scooter,Urban,Agra,38.0,4.5,1.0,27.0,7.44,16.53,27.160934,78.044095,27.210934,78.094095
18,1900-01-01 22:20:00,Windy,Low,scooter,Metropolitian,Agra,38.0,4.7,1.0,28.0,10.47,22.44,27.163303,78.057044,27.233303,78.127044
19,1900-01-01 08:15:00,Windy,Low,motorcycle,Metropolitian,Agra,32.0,4.2,0.0,33.0,2.98,5.42,27.163303,78.057044,27.183303,78.077044
20,1900-01-01 09:20:00,Cloudy,Low,scooter,Metropolitian,Agra,26.0,4.9,0.0,10.0,1.47,8.82,27.165108,78.015053,27.175108,78.025053
21,1900-01-01 22:50:00,Fog,Low,scooter,Metropolitian,Agra,25.0,4.8,0.0,27.0,11.87,26.38,27.165108,78.015053,27.245108,78.095053
22,1900-01-01 23:40:00,Sandstorms,Low,motorcycle,Urban,Agra,35.0,5.0,0.0,28.0,7.39,15.84,27.165108,78.015053,27.215108,78.065053
23,1900-01-01 17:25:00,Sandstorms,Medium,electric_scooter,Metropolitian,Agra,35.0,4.1,1.0,32.0,7.39,13.86,27.165108,78.015053,27.215108,78.065053
24,1900-01-01 17:45:00,Stormy,Medium,motorcycle,Metropolitian,Agra,34.0,4.2,1.0,37.0,4.42,7.17,27.165108,78.015053,27.195108,78.045053
25,1900-01-01 21:25:00,Stormy,Jam,scooter,Metropolitian,Agra,21.0,4.8,1.0,24.0,8.88,22.2,27.165108,78.015053,27.225108,78.075053
26,1900-01-01 21:25:00,Sunny,Jam,scooter,Metropolitian,Agra,33.0,4.6,0.0,21.0,8.88,25.37,27.165108,78.015053,27.225108,78.075053
27,1900-01-01 20:40:00,Fog,Jam,scooter,Metropolitian,Agra,29.0,4.6,1.0,27.0,4.42,9.82,27.165108,78.015053,27.195108,78.045053
28,1900-01-01 17:25:00,Sandstorms,Medium,motorcycle,Metropolitian,Agra,21.0,4.8,1.0,30.0,16.48,32.96,27.159795,78.04299,27.269795,78.15299
29,1900-01-01 21:30:00,Fog,Jam,motorcycle,Metropolitian,Agra,39.0,5.0,1.0,45.0,19.51,26.01,27.159795,78.04299,27.289795,78.17299
30,1900-01-01 16:35:00,Windy,Medium,motorcycle,Metropolitian,Agra,35.0,4.7,1.0,27.0,5.94,13.2,27.16185,78.040165,27.20185,78.080165
31,1900-01-01 11:20:00,Cloudy,High,motorcycle,Metropolitian,Agra,29.0,4.7,1.0,24.0,2.96,7.4,27.16185,78.040165,27.18185,78.060165
32,1900-01-01 20:30:00,Windy,Jam,motorcycle,Metropolitian,Agra,38.0,4.4,1.0,38.0,8.93,14.1,27.16185,78.040165,27.22185,78.100165
36,1900-01-01 08:25:00,Sandstorms,Low,scooter,Metropolitian,Agra,36.0,4.8,0.0,24.0,1.48,3.7,27.157772,78.04725,27.167772,78.05725
37,1900-01-01 20:35:00,Sandstorms,Jam,motorcycle,Metropolitian,Agra,22.0,4.9,0.0,30.0,4.46,8.92,27.157772,78.04725,27.187772,78.07725
38,1900-01-01 19:00:00,Cloudy,Medium,scooter,Metropolitian,Agra,24.0,4.8,1.0,13.0,4.45,20.54,27.161694,78.034714,27.191694,78.064714
40,1900-01-01 23:35:00,Fog,Low,motorcycle,Metropolitian,Agra,35.0,4.7,1.0,37.0,16.49,26.74,27.158822,78.045359,27.268822,78.155359
41,1900-01-01 10:30:00,Sandstorms,Low,motorcycle,Metropolitian,Agra,26.0,4.3,0.0,20.0,1.48,4.44,27.158822,78.045359,27.168822,78.055359
44,1900-01-01 15:15:00,Stormy,High,motorcycle,Urban,Allahabad,23.0,4.7,0.0,21.0,6.24,17.83,25.454648,81.834502,25.494648,81.874502
45,1900-01-01 23:50:00,Sandstorms,Low,scooter,Metropolitian,Allahabad,34.0,5.0,1.0,15.0,20.19,80.76,25.454648,81.834502,25.584648,81.964502
46,1900-01-01 14:50:00,Cloudy,High,scooter,Metropolitian,Allahabad,35.0,4.7,1.0,29.0,6.24,12.91,25.453436,81.833167,25.493436,81.873167
47,1900-01-01 20:15:00,Cloudy,Jam,scooter,Urban,Allahabad,32.0,4.6,1.0,46.0,20.19,26.33,25.453436,81.833167,25.583436,81.963167
48,1900-01-01 08:30:00,Cloudy,Low,motorcycle,Metropolitian,Allahabad,26.0,4.9,1.0,22.0,1.56,4.25,25.451517,81.832616,25.461517,81.842616
50,1900-01-01 20:55:00,Fog,Jam,motorcycle,Urban,Allahabad,26.0,4.8,0.0,23.0,7.79,20.32,25.457687,81.835585,25.507687,81.885585
51,1900-01-01 21:00:00,Sunny,Jam,scooter,Metropolitian,Allahabad,20.0,5.0,1.0,14.0,12.45,53.36,25.457687,81.835585,25.537687,81.915585
55,1900-01-01 18:15:00,Windy,Medium,motorcycle,Metropolitian,Allahabad,38.0,4.7,1.0,27.0,4.68,10.4,25.449659,81.839744,25.479659,81.869744
62,1900-01-01 00:00:00,Windy,Low,motorcycle,Metropolitian,Allahabad,27.0,4.5,0.0,18.0,12.42,41.4,25.443994,81.860187,25.523994,81.940187
63,1900-01-01 21:45:00,Fog,Jam,motorcycle,Metropolitian,Allahabad,23.0,4.7,1.0,33.0,20.13,36.6,25.443994,81.860187,25.573994,81.990187
64,1900-01-01 21:40:00,Fog,Jam,motorcycle,Metropolitian,Allahabad,22.0,4.6,1.0,33.0,17.1,31.09,25.451646,81.832796,25.561646,81.942796
65,1900-01-01 18:00:00,Windy,Medium,motorcycle,Metropolitian,Allahabad,35.0,4.6,0.7592242194891201,31.0,17.1,33.1,25.451646,81.832796,25.561646,81.942796
66,1900-01-01 22:25:00,Stormy,Low,scooter,Metropolitian,Allahabad,32.0,4.8,1.0,29.0,20.19,41.77,25.451646,81.832796,25.581646,81.962796
67,1900-01-01 19:50:00,Sandstorms,Jam,motorcycle,Metropolitian,Allahabad,38.0,4.9,1.0,48.0,20.19,25.24,25.451646,81.832796,25.581646,81.962796
68,1900-01-01 22:25:00,Stormy,Low,scooter,Metropolitian,Allahabad,32.0,4.8,1.0,29.0,20.19,41.77,25.451646,81.832796,25.581646,81.962796
69,1900-01-01 18:40:00,Sunny,Medium,motorcycle,Metropolitian,Allahabad,34.0,5.0,1.0,25.0,17.1,41.04,25.459775,81.834841,25.569775,81.944841
70,1900-01-01 18:10:00,Cloudy,Medium,motorcycle,Urban,Allahabad,35.0,4.9,1.0,42.0,17.1,24.43,25.459775,81.834841,25.569775,81.944841
71,1900-01-01 20:50:00,Windy,Jam,motorcycle,Metropolitian,Allahabad,36.0,4.3,1.0,35.0,20.19,34.61,25.459775,81.834841,25.589775,81.964841
73,1900-01-01 23:00:00,Fog,Low,electric_scooter,Metropolitian,Allahabad,34.0,4.2,1.0,35.0,10.9,18.69,25.450377,81.834236,25.520377,81.904236
74,1900-01-01 22:45:00,Fog,Low,motorcycle,Urban,Allahabad,23.0,4.9,0.0,22.0,21.73,59.26,25.450377,81.834236,25.590377,81.974236
75,1900-01-01 20:40:00,Windy,Jam,motorcycle,Metropolitian,Allahabad,24.0,4.6,1.0,28.0,7.79,16.69,25.45235,81.841889,25.50235,81.891889
76,1900-01-01 12:00:00,Fog,High,motorcycle,Metropolitian,Allahabad,25.0,4.9,0.7592242194891201,26.0,3.12,7.2,25.45235,81.841889,25.47235,81.861889
77,1900-01-01 18:15:00,Cloudy,Medium,motorcycle,Metropolitian,Allahabad,37.0,4.8,1.0,32.0,4.68,8.78,25.45235,81.841889,25.48235,81.871889
78,1900-01-01 19:30:00,Cloudy,Jam,motorcycle,Metropolitian,Allahabad,31.0,4.1,1.0,47.0,21.71,27.71,25.45235,81.841889,25.59235,81.981889
79,1900-01-01 11:15:00,Sandstorms,Low,motorcycle,Urban,Allahabad,32.0,4.1,0.0,22.0,3.12,8.51,25.450317,81.831681,25.470317,81.851681
80,1900-01-01 12:10:00,Windy,High,motorcycle,Metropolitian,Allahabad,31.0,4.3,1.0,48.0,3.12,3.9,25.450317,81.831681,25.470317,81.851681
81,1900-01-01 20:05:00,Cloudy,Jam,scooter,Metropolitian,Allahabad,39.0,5.0,0.0,38.0,7.8,12.32,25.450317,81.831681,25.500317,81.881681
